player,position,team,birth_year,minutes,goals,assists,offsides,crosses,interceptions,tackles_won,pens_conceded,ball_recoveries,aerials_won,aerials_lost
Yann Sommer,GK,Switzerland,1988,270,0,0,0,0,0,0,0,5,0,1
Yannick Carrasco,FW,Belgium,1993,116,0,0,0,2,1,4,1,8,0,0
Yasser Al-Shahrani,DF,Saudi Arabia,1992,89,0,0,0,1,6,1,0,5,0,0
Yassine Bounou,GK,Morocco,1991,570,0,0,0,0,0,0,0,7,1,0
Yassine Meriah,DF,Tunisia,1993,270,0,0,0,2,1,2,0,16,5,6
Yeltsin Tejeda,MF,Costa Rica,1992,269,1,1,0,0,1,2,0,14,4,2
Youri Tielemans,MF,Belgium,1997,95,0,0,0,1,2,1,0,9,2,1
Youssef En-Nesyri,FW,Morocco,1997,542,2,0,4,0,1,2,0,13,21,14
Youssef Msakni,MF,Tunisia,1990,169,0,0,0,2,0,1,0,9,3,6
Youssouf Fofana,MF,France,1999,227,0,0,0,0,3,5,0,17,1,1
Youssouf Sabaly,DF,Senegal,1993,360,0,0,0,7,4,6,0,27,4,3
Youssoufa Moukoko,FW,Germany,2004,1,0,0,0,1,0,0,0,1,0,0
Youstin Salas,DF,Costa Rica,1996,47,0,0,0,0,0,1,0,5,1,0
Yuki Soma,FW,Japan,1997,81,0,0,0,6,0,0,0,2,0,0
Yunus Musah,MF,United States,2002,343,0,0,0,8,2,6,0,23,3,3
Yuto Nagatomo,MF,Japan,1986,209,0,0,0,6,0,2,0,11,1,2
Zakaria Aboukhlal,FW,Morocco,2000,79,1,0,2,1,1,1,0,3,2,0
Álvaro Morata,FW,Spain,1992,185,3,1,5,0,0,1,0,2,1,0
Álvaro Zamora,MF,Costa Rica,2002,30,0,0,1,0,1,0,0,1,0,1
Ángel Correa,MF,Argentina,1995,5,0,0,0,0,0,1,0,0,0,0
Ángel Di María,MF,Argentina,1988,288,1,1,5,27,1,1,0,7,0,1
Ángelo Preciado,DF,Ecuador,1998,264,0,1,0,8,6,5,0,10,3,2
Éder Militão,DF,Brazil,1998,347,0,0,0,3,3,6,0,29,4,5
Óscar Duarte,DF,Costa Rica,1989,270,0,0,0,0,6,2,1,9,2,3
İlkay Gündoğan,MF,Germany,1990,189,1,0,1,1,1,1,0,18,3,2
